scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
baseline,55.0,1,-102.16379373114958,-105.61775284924326,-100.01029995663981,-3.076850531934438,-2.5237678885183086,-2.993528149062989,-6.766851983838989,0.4465254018048973,0.923,0.9973
baseline,55.0,2,-102.16379373114958,-102.46265940646764,-100.01029995663981,-3.9039881591355807,-3.289691477082586,-3.833963911930539,-7.875932634369173,-0.16301032546058766,0.9585,0.9992
baseline,55.0,3,-102.16379373114958,-100.85210933492866,-100.01029995663981,-4.53928481620644,-3.8991123007538664,-4.4404266583861745,-8.639332977156457,-0.7637278899889105,0.975,0.9997
baseline,55.0,4,-102.16379373114958,-99.61731874997376,-100.01029995663981,-5.133281339457233,-4.471437541818713,-5.100704798389549,-9.160412238548302,-1.2727699076633592,0.9847,0.9998
baseline,55.0,5,-102.16379373114958,-98.60106936571535,-100.01029995663981,-5.677859100649032,-5.001028637625987,-5.607506213427464,-9.82284840351919,-1.7363163690561008,0.9919,0.9999
baseline,55.0,6,-102.16379373114958,-97.78589207237744,-100.01029995663981,-6.17242938448499,-5.496964099256237,-6.10550690888266,-10.26969527961801,-2.2522575357952856,0.9951,1.0
baseline,55.0,7,-102.16379373114958,-97.12113786696824,-100.01029995663981,-6.6057261651321895,-5.949346881997602,-6.53677256739407,-10.638660200383741,-2.7483616893252463,0.9975,1.0
baseline,55.0,8,-102.16379373114958,-96.54530661176548,-100.01029995663981,-7.000817895977412,-6.335088074182934,-6.941458822524553,-11.048308472478842,-3.0818252834723157,0.9988,1.0
baseline,55.0,9,-102.16379373114958,-96.021781036036,-100.01029995663981,-7.3711278799944004,-6.702539256138969,-7.3310511247467165,-11.410761176364236,-3.4446030269224144,0.9992,1.0
baseline,55.0,10,-102.16379373114958,-95.55709520362933,-100.01029995663981,-7.716917215842843,-7.051684577039154,-7.675657547034259,-11.775660657138387,-3.766188005390749,0.9997,1.0
baseline,55.0,11,-102.16379373114958,-95.16117367184182,-100.01029995663981,-8.021299981844502,-7.368328145979191,-7.9749886276611,-12.027379237532536,-4.136551111039481,0.9998,1.0
baseline,55.0,12,-102.16379373114958,-94.81208457719009,-100.01029995663981,-8.296979772639414,-7.651476671042215,-8.2705783326405,-12.26926206443721,-4.451431804166835,1.0,1.0
baseline,55.0,13,-102.16379373114958,-94.42362840361562,-100.01029995663981,-8.598514231273063,-7.9439307751524435,-8.563820196449361,-12.631476116880838,-4.7187288520626955,1.0,1.0
baseline,55.0,14,-102.16379373114958,-94.12228374760429,-100.01029995663981,-8.844253189841,-8.20491394546446,-8.796211733292125,-12.848260510153715,-4.998731235987311,0.9999,1.0
baseline,55.0,15,-102.16379373114958,-93.81804869918744,-100.01029995663981,-9.098409571830452,-8.47728932583296,-9.075864560071237,-13.006399439446636,-5.2984946418724785,1.0,1.0
baseline,55.0,16,-102.16379373114958,-93.56914220569038,-100.01029995663981,-9.307711008476783,-8.67693281699568,-9.26541900406042,-13.198484516068895,-5.501717126336785,1.0,1.0
baseline,55.0,17,-102.16379373114958,-93.27286141724349,-100.01029995663981,-9.551992218286454,-8.930605277177786,-9.557797928532151,-13.382318748458731,-5.720104624494927,1.0,1.0
baseline,55.0,18,-102.16379373114958,-93.0244230788935,-100.01029995663981,-9.761528852174202,-9.126611286680554,-9.736751151916808,-13.609379588925572,-5.831784305829381,1.0,1.0
baseline,55.0,19,-102.16379373114958,-92.82884464399059,-100.01029995663981,-9.936188889085987,-9.32377746777582,-9.922753189584542,-13.788085567878134,-6.170731103847052,1.0,1.0
baseline,55.0,20,-102.16379373114958,-92.5993186861428,-100.01029995663981,-10.136229637269158,-9.524837418925978,-10.109964145666792,-13.926403603166273,-6.387093309259383,1.0,1.0
baseline,55.0,21,-102.16379373114958,-92.36977671468054,-100.01029995663981,-10.325610247883258,-9.71679894706172,-10.313627634248373,-14.14695127956222,-6.583069238201997,1.0,1.0
baseline,55.0,22,-102.16379373114958,-92.1710030008858,-100.01029995663981,-10.505174852037202,-9.895723401035777,-10.49186405852373,-14.370464086620517,-6.727938810557295,1.0,1.0
baseline,55.0,23,-102.16379373114958,-91.96933460580735,-100.01029995663981,-10.682108892186925,-10.071782341274256,-10.663918664919596,-14.496097630091887,-6.892158729794524,1.0,1.0
baseline,55.0,24,-102.16379373114958,-91.78128298918111,-100.01029995663981,-10.851484566361881,-10.257308701955568,-10.798958178458902,-14.635158586541472,-7.148724159906078,1.0,1.0
baseline,55.0,25,-102.16379373114958,-91.61824410213936,-100.01029995663981,-10.995565266678998,-10.40141484482265,-10.984708547332655,-14.76650436667817,-7.326547372704163,1.0,1.0
baseline,55.0,26,-102.16379373114958,-91.46466387072329,-100.01029995663981,-11.138704337909052,-10.554118622002202,-11.125112843189106,-14.851078845009752,-7.4746254085313915,1.0,1.0
baseline,55.0,27,-102.16379373114958,-91.25608151462771,-100.01029995663981,-11.323346965557812,-10.738127731007785,-11.300196177883645,-15.096197824026492,-7.628599895751158,1.0,1.0
baseline,55.0,28,-102.16379373114958,-91.1251447989577,-100.01029995663981,-11.441873839994768,-10.864054134572177,-11.401423465997041,-15.100884388390803,-7.781171719745019,1.0,1.0
baseline,55.0,29,-102.16379373114958,-90.95536686003553,-100.01029995663981,-11.591937975816522,-11.01123489959548,-11.60705199111349,-15.274089509568835,-7.900093050229265,1.0,1.0
baseline,55.0,30,-102.16379373114958,-90.81313997755217,-100.01029995663981,-11.7224995274484,-11.137191536631423,-11.688175157439627,-15.473094310637848,-7.976560369913477,1.0,1.0
baseline,55.0,31,-102.16379373114958,-90.66884973370207,-100.01029995663981,-11.856705670324724,-11.28212097619466,-11.849082259762621,-15.51961465507068,-8.161800688909457,1.0,1.0
baseline,55.0,32,-102.16379373114958,-90.5593307282439,-100.01029995663981,-11.957579037777931,-11.369987897268919,-11.95473439085429,-15.696098724711714,-8.256063436972163,1.0,1.0
baseline,55.0,33,-102.16379373114958,-90.42022636954967,-100.01029995663981,-12.084197075865465,-11.510656583048121,-12.05258840500957,-15.794147085119434,-8.412618930187845,1.0,1.0
baseline,55.0,34,-102.16379373114958,-90.2662138503902,-100.01029995663981,-12.224239858940745,-11.654453796572408,-12.20915152583121,-15.905457619181185,-8.591859280654361,1.0,1.0
baseline,55.0,35,-102.16379373114958,-90.13598911250926,-100.01029995663981,-12.345111847927097,-11.782222888574658,-12.332602732490525,-16.031077389748205,-8.755075018924659,1.0,1.0
baseline,55.0,36,-102.16379373114958,-90.01887846162347,-100.01029995663981,-12.456422067426635,-11.88696999818849,-12.431449791979025,-16.131087093762257,-8.75168793179856,1.0,1.0
baseline,55.0,37,-102.16379373114958,-89.90483665271714,-100.01029995663981,-12.55946669927348,-11.998993765079756,-12.542503428395484,-16.24391687523187,-8.974638337927118,1.0,1.0
baseline,55.0,38,-102.16379373114958,-89.78949253696392,-100.01029995663981,-12.666945233979856,-12.110961364934719,-12.659528106384773,-16.282482546413974,-9.07301786766005,1.0,1.0
baseline,55.0,39,-102.16379373114958,-89.68133573475883,-100.01029995663981,-12.766802507533052,-12.2077665176102,-12.73053411690314,-16.4076615081107,-9.125086873260717,1.0,1.0
baseline,55.0,40,-102.16379373114958,-89.55405592765197,-100.01029995663981,-12.881347817337934,-12.318071566889255,-12.860230645599446,-16.545359981192725,-9.234382786616644,1.0,1.0
baseline,55.0,41,-102.16379373114958,-89.46552171860638,-100.01029995663981,-12.969495570857482,-12.412937626008294,-12.966747212439587,-16.567762137584733,-9.322541532229224,1.0,1.0
baseline,55.0,42,-102.16379373114958,-89.37139449459168,-100.01029995663981,-13.059687610576633,-12.500439602705818,-13.03934042183431,-16.690198496883976,-9.471748756656496,1.0,1.0
baseline,55.0,43,-102.16379373114958,-89.24406918397558,-100.01029995663981,-13.176252750268805,-12.620875548809112,-13.153853117188314,-16.803240465993984,-9.587574205022987,1.0,1.0
baseline,55.0,44,-102.16379373114958,-89.14341158338935,-100.01029995663981,-13.270293485246148,-12.7245383240695,-13.261569217610173,-16.91829885098914,-9.68267456399301,1.0,1.0
baseline,55.0,45,-102.16379373114958,-89.05573177705394,-100.01029995663981,-13.353968249080465,-12.803314679771177,-13.342971799433364,-16.929012203612032,-9.74937373921463,1.0,1.0
