scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
activity_reduction,55.0,1,-102.16379373114958,-108.44813290202535,-100.01029995663981,-2.6315904530406646,-2.1010401596796613,-2.5670345075286605,-6.206012372359401,0.8113758879949714,0.893,0.9962
activity_reduction,55.0,2,-102.16379373114958,-105.45300605182304,-100.01029995663981,-3.065473289470924,-2.4753991027546465,-2.9840758833582095,-6.939806385308947,0.555179135308603,0.9155,0.9972
activity_reduction,55.0,3,-102.16379373114958,-103.82408248874752,-100.01029995663981,-3.4476562315580566,-2.820509318921129,-3.3392104059920578,-7.5346600066643115,0.2998959926526911,0.9334,0.9983
activity_reduction,55.0,4,-102.16379373114958,-102.59654065899224,-100.01029995663981,-3.8161654371422804,-3.1599346741965735,-3.735269789304465,-7.9049364329027645,0.014898909960854299,0.9491,0.9981
activity_reduction,55.0,5,-102.16379373114958,-101.61511575888724,-100.01029995663981,-4.1633083055343025,-3.487909936267355,-4.077728712505428,-8.37893719571586,-0.2507307587912798,0.9618,0.9993
activity_reduction,55.0,6,-102.16379373114958,-100.79561771281567,-100.01029995663981,-4.49575528938317,-3.797880203141263,-4.418488215002113,-8.780111990544917,-0.5196391636444434,0.9701,0.9996
activity_reduction,55.0,7,-102.16379373114958,-100.15570917763631,-100.01029995663981,-4.79225034954258,-4.092254047492177,-4.70078861857089,-9.046321540212945,-0.8322725556964163,0.9766,0.9996
activity_reduction,55.0,8,-102.16379373114958,-99.54945971854991,-100.01029995663981,-5.091780200268334,-4.373876544844749,-5.0189191944886735,-9.348746610056653,-1.0332612462548136,0.9805,0.9999
activity_reduction,55.0,9,-102.16379373114958,-99.04233207129835,-100.01029995663981,-5.365049086044224,-4.640143652422536,-5.271254963530958,-9.723424225256354,-1.3297486046265954,0.9856,0.9998
activity_reduction,55.0,10,-102.16379373114958,-98.4870633787099,-100.01029995663981,-5.663489062328497,-4.906694031228589,-5.621386791340083,-10.071967987329208,-1.4421602154740758,0.9891,0.9996
activity_reduction,55.0,11,-102.16379373114958,-98.20102306679516,-100.01029995663981,-5.844019803611018,-5.088854661802174,-5.804889853629938,-10.148839027310803,-1.6699572877251576,0.99,0.9997
activity_reduction,55.0,12,-102.16379373114958,-97.80299146192084,-100.01029995663981,-6.091373670117469,-5.346113909964034,-6.061036616260507,-10.406891420898353,-1.9494737390463173,0.9916,0.9999
activity_reduction,55.0,13,-102.16379373114958,-97.44978663329721,-100.01029995663981,-6.321522953531892,-5.572758211190678,-6.250981752611109,-10.59027170017268,-2.1486059041311556,0.9935,1.0
activity_reduction,55.0,14,-102.16379373114958,-97.13170955140534,-100.01029995663981,-6.530405926941662,-5.787685299765428,-6.5064198362759385,-10.79125232767697,-2.39300509796354,0.9957,1.0
activity_reduction,55.0,15,-102.16379373114958,-96.84858095551931,-100.01029995663981,-6.7320406113974665,-5.988124561756755,-6.702331201742208,-11.004208438912592,-2.5456377300367365,0.9964,0.9999
activity_reduction,55.0,16,-102.16379373114958,-96.54011318200646,-100.01029995663981,-6.943302803814688,-6.200709373978455,-6.890777999817347,-11.238177253494097,-2.8438755166274174,0.9964,1.0
activity_reduction,55.0,17,-102.16379373114958,-96.26946913362134,-100.01029995663981,-7.128572244098609,-6.390192337869378,-7.100552853374646,-11.361301678407731,-2.9875990492911613,0.9981,1.0
activity_reduction,55.0,18,-102.16379373114958,-96.01973979318645,-100.01029995663981,-7.30969970585659,-6.575126593481482,-7.267903561690222,-11.58387906639169,-3.1477774585994607,0.9983,1.0
activity_reduction,55.0,19,-102.16379373114958,-95.84271168261564,-100.01029995663981,-7.455928768454591,-6.730756244262109,-7.412347839199238,-11.663343163018235,-3.354307017794579,0.9988,1.0
activity_reduction,55.0,20,-102.16379373114958,-95.62448692527968,-100.01029995663981,-7.61891833327082,-6.894672163931512,-7.590749873226016,-11.820556920164046,-3.5446308301825353,0.999,1.0
activity_reduction,55.0,21,-102.16379373114958,-95.35652056753428,-100.01029995663981,-7.805675463580625,-7.094082334235237,-7.774248571276594,-12.007207165352371,-3.7174374725222536,0.999,1.0
activity_reduction,55.0,22,-102.16379373114958,-95.1706840859336,-100.01029995663981,-7.957140642437653,-7.243955219472882,-7.941638597836114,-12.157311492888804,-3.873905570174059,0.9996,1.0
activity_reduction,55.0,23,-102.16379373114958,-94.97775552859036,-100.01029995663981,-8.104269438202985,-7.386184225477034,-8.073299546460666,-12.234975632532247,-4.028645632904846,0.9996,1.0
activity_reduction,55.0,24,-102.16379373114958,-94.77404320159779,-100.01029995663981,-8.264085031953812,-7.551295555025915,-8.219960219948092,-12.423068862998958,-4.202281931298259,0.9998,1.0
activity_reduction,55.0,25,-102.16379373114958,-94.6140254350635,-100.01029995663981,-8.39101116892784,-7.684711080668918,-8.382074638448092,-12.544158947675086,-4.364629558832441,0.9995,1.0
activity_reduction,55.0,26,-102.16379373114958,-94.48011204911687,-100.01029995663981,-8.513077096543125,-7.805244997067058,-8.50408626295259,-12.596613303098275,-4.427173893674753,0.9996,1.0
activity_reduction,55.0,27,-102.16379373114958,-94.25828207452496,-100.01029995663981,-8.688398344037914,-7.986032880204336,-8.645348876404412,-12.751350491313373,-4.610463652598804,0.9997,1.0
activity_reduction,55.0,28,-102.16379373114958,-94.13716985886077,-100.01029995663981,-8.785084079040564,-8.09896433794925,-8.769793833823268,-12.82829488171821,-4.774415604924941,0.9998,1.0
activity_reduction,55.0,29,-102.16379373114958,-93.9574986198921,-100.01029995663981,-8.927871126463831,-8.237257230030467,-8.945497749969295,-12.981451869496677,-4.946586286797464,0.9997,1.0
activity_reduction,55.0,30,-102.16379373114958,-93.80650777925607,-100.01029995663981,-9.04868547532159,-8.350199386616865,-9.03358528231555,-13.184248899711958,-5.0037415131563305,1.0,1.0
activity_reduction,55.0,31,-102.16379373114958,-93.68693142797059,-100.01029995663981,-9.1595338733643,-8.474584090553119,-9.16853370801751,-13.129452830011227,-5.2079712110998715,0.9999,1.0
activity_reduction,55.0,32,-102.16379373114958,-93.5487598618934,-100.01029995663981,-9.273496785842092,-8.577890718031924,-9.26974686389164,-13.376151000459583,-5.233819786575421,1.0,1.0
activity_reduction,55.0,33,-102.16379373114958,-93.4288187833456,-100.01029995663981,-9.374426276277132,-8.692729730324952,-9.35037723666457,-13.432282238303829,-5.3879634233441935,1.0,1.0
activity_reduction,55.0,34,-102.16379373114958,-93.28549400413999,-100.01029995663981,-9.490767121016786,-8.801959550452345,-9.468602223691448,-13.516170012994488,-5.442544312898923,0.9999,1.0
activity_reduction,55.0,35,-102.16379373114958,-93.14799537443051,-100.01029995663981,-9.612482692147026,-8.931508460997703,-9.633765953087861,-13.599647807788907,-5.605105807519136,1.0,1.0
activity_reduction,55.0,36,-102.16379373114958,-93.02599849110038,-100.01029995663981,-9.724232244248276,-9.067865756942181,-9.677430491060267,-13.699172710807934,-5.780404268288985,1.0,1.0
activity_reduction,55.0,37,-102.16379373114958,-92.92058037213596,-100.01029995663981,-9.812942672558824,-9.150309925629891,-9.837842968120523,-13.75988001434095,-5.916020539693767,1.0,1.0
activity_reduction,55.0,38,-102.16379373114958,-92.79669920236086,-100.01029995663981,-9.91917021013762,-9.261403893801814,-9.909970313669977,-13.837505460209,-6.042335997553269,1.0,1.0
activity_reduction,55.0,39,-102.16379373114958,-92.71310903380359,-100.01029995663981,-9.990398438523137,-9.33282884516108,-9.983205038428494,-13.983660891085766,-6.044474118145874,1.0,1.0
activity_reduction,55.0,40,-102.16379373114958,-92.55641122623368,-100.01029995663981,-10.122451292963618,-9.456119097909871,-10.086405832113083,-14.155403534018038,-6.198551985997261,1.0,1.0
activity_reduction,55.0,41,-102.16379373114958,-92.46722054858496,-100.01029995663981,-10.204635289465354,-9.551551721266254,-10.161759514879684,-14.180650140766367,-6.319124934917475,1.0,1.0
activity_reduction,55.0,42,-102.16379373114958,-92.35762996020622,-100.01029995663981,-10.296517792881124,-9.629030803860609,-10.301142544027575,-14.247780625882896,-6.305519315299834,1.0,1.0
activity_reduction,55.0,43,-102.16379373114958,-92.23587961576514,-100.01029995663981,-10.405826533625548,-9.751288109188446,-10.394652801853724,-14.356470151791683,-6.498303926018236,1.0,1.0
activity_reduction,55.0,44,-102.16379373114958,-92.15043457577983,-100.01029995663981,-10.48335518100334,-9.84405671956717,-10.4707472809569,-14.431024837552043,-6.616824334971051,1.0,1.0
activity_reduction,55.0,45,-102.16379373114958,-92.05140251291834,-100.01029995663981,-10.578857558275837,-9.948175456320048,-10.599471486848564,-14.485708690408835,-6.744660225184753,1.0,1.0
activity_reduction,55.0,46,-102.16379373114958,-92.0042255244264,-100.01029995663981,-10.616418854520912,-9.973404126774758,-10.592070235620895,-14.542070282565428,-6.756470783350372,1.0,1.0
activity_reduction,55.0,47,-102.16379373114958,-91.87217662315697,-100.01029995663981,-10.733258212990252,-10.109134304306124,-10.722931449254542,-14.605539153011842,-6.9152151681672525,1.0,1.0
activity_reduction,55.0,48,-102.16379373114958,-91.78771314812724,-100.01029995663981,-10.805188368772214,-10.159461961281867,-10.759366260730342,-14.705288878920065,-6.972963806507312,1.0,1.0
activity_reduction,55.0,49,-102.16379373114958,-91.69894931713807,-100.01029995663981,-10.889298446294363,-10.25422730618936,-10.867504103837138,-14.71369267620689,-6.976899851606448,1.0,1.0
activity_reduction,55.0,50,-102.16379373114958,-91.61286619320371,-100.01029995663981,-10.961289931977666,-10.330022246786474,-10.922950128735785,-14.83749115045385,-7.10475342824627,1.0,1.0
activity_reduction,60.0,0,-97.18941156262426,-300.0,-100.01029995663981,2.820888394015545,3.2837716874726626,2.837050268177519,-0.5118935490014155,6.137826101349199,0.0826,0.5319
activity_reduction,60.0,1,-97.18941156262426,-103.6374259479739,-100.01029995663981,1.7065879908752912,2.4314619421967847,1.9294487994028167,-3.0297078011715515,5.643293790822436,0.2304,0.6768
